N	sparsity	gcoospdm	cusparse	cublas
400	0.8	0.731	1.08	0.07
500	0.8	1.187	1.309	0.095
600	0.8	1.423	1.78	0.17
700	0.8	2.162	2.153	0.239
800	0.8	2.975	2.932	0.343
900	0.8	3.978	4.254	0.499
1000	0.8	4.994	4.99	0.517
1100	0.8	6.238	6.433	0.768
1200	0.8	7.205	7.997	0.838
1300	0.8	10.076	12.416	1.218
1400	0.8	12.008	15.362	1.309
1500	0.8	13.998	18.449	1.742
1600	0.8	16.546	22.314	2.155
1700	0.8	20.175	27.07	2.576
1800	0.8	22.694	31.875	3.114
1900	0.8	25.795	37.538	3.329
2000	0.8	29.835	43.937	3.709
2100	0.8	34.79	51.25	4.637
2200	0.8	39.836	58.966	5.357
2300	0.8	44.62	67.749	5.715
2400	0.8	50.445	76.807	6.592
2500	0.8	57.615	87.048	7.467
2600	0.8	64.745	91.403	8.397
2700	0.8	72.928	103.298	9.713
2800	0.8	79.949	116.724	10.128
2900	0.8	88.735	131.461	11.35
3000	0.8	98.32	145.151	12.624
3100	0.8	109.11	159.874	14.365
3200	0.8	118.277	177.937	14.757
3300	0.8	130.681	196.996	16.719
3400	0.8	142.733	216.461	18.333
3500	0.8	156.159	238.343	20.539
3600	0.8	170.341	260.15	22.572
3700	0.8	183.083	285.82	23.445
3800	0.8	198.141	312.166	25.849
3900	0.8	214.664	340.999	28.563
4000	0.8	232.051	369.081	30.948
4100	0.8	251.967	394.015	33.939
4200	0.8	267.943	429.351	34.904
4300	0.8	287.643	462.4	38.234
4400	0.8	307.928	492.497	41.085
4500	0.8	331.104	525.442	44.833
4600	0.8	350.095	560.558	46.001
4700	0.8	373.751	598.558	49.599
4800	0.8	397.205	639.286	52.902
4900	0.8	426.097	682.972	57.416
5000	0.8	453.626	723.116	61.506
5100	0.8	478.039	770.199	63.323
5200	0.8	505.531	822.39	67.112
5300	0.8	536.947	870.824	72.113
5400	0.8	569.388	924.353	76.907
5500	0.8	597.58	977.746	78.878
5600	0.8	628.78	1034.213	83.354
5700	0.8	669.028	1093.22	89.573
5800	0.8	705.087	1161.083	95.023
5900	0.8	745.798	1221.486	101.035
6000	0.8	776.703	1285.009	102.855
6100	0.8	819.759	1345.248	108.935
6200	0.8	858.994	1416.394	114.976
6300	0.8	907.068	1499.421	122.353
6400	0.8	938.37	1571.273	124.126
6500	0.8	994.246	1655.652	131.842
6600	0.8	1036.593	1728.675	138.205
6700	0.8	1090.286	1815.667	146.646
6800	0.8	1137.17	1893.273	153.462
6900	0.8	1187.818	1996.975	156.977
7000	0.8	1234.732	2076.517	164.758
7100	0.8	1297.652	2169.175	173.566
7200	0.8	1344.072	2263.764	181.454
7300	0.8	1420.713	2367.977	191.568
7400	0.8	1466.983	2472.454	194.451
7500	0.8	1534.208	2589.87	204.299
7600	0.8	1586.846	2708.677	213.277
7700	0.8	1668.29	2846.475	224.692
7800	0.8	1718.693	2941.103	226.849
7900	0.8	1792.559	3041.48	238.232
8000	0.8	1840.84	3169.252	247.56
8100	0.8	1940.059	3308.795	260.019
8200	0.8	2010.962	3389.912	270.223
8300	0.8	2080.408	3572.519	275.711
8400	0.8	2137.407	3683.542	286.117
8500	0.8	2236.563	3819.217	298.978
8600	0.8	2314.727	3986.195	310.789
8700	0.8	2396.464	4163.829	315.973
8800	0.8	2447.21	4263.214	327.198
8900	0.8	2572.862	4384.967	342.096
9000	0.8	2654.719	4528.049	354.898
9100	0.8	2759.528	4690.525	369.608
9200	0.8	2819.986	4860.178	373.028
9300	0.8	2933.33	5007.119	389.15
9400	0.8	3024.724	5170.381	403.138
9500	0.8	10000000	5357.266	418.98
9600	0.8	10000000	5530.432	422.889
9700	0.8	10000000	5756.141	441.729
9800	0.8	10000000	5970.793	455.846
9900	0.8	10000000	6182.34	475.149
10000	0.8	10000000	6431.082	489.517
