N	sparsity	gcoospdm	cusparse	cublas
400	0.8	0.839	1.298	0.063
500	0.8	1.504	2.07	0.087
600	0.8	1.278	1.124	0.116
700	0.8	1.721	1.787	0.183
800	0.8	2.433	2.325	0.223
900	0.8	3.128	2.375	0.402
1000	0.8	4.193	3.584	0.421
1100	0.8	4.229	3.944	0.548
1200	0.8	5.237	5.695	0.632
1300	0.8	6.599	6.212	0.973
1400	0.8	7.865	8.469	1.05
1500	0.8	9.308	9.81	1.344
1600	0.8	10.638	11.671	1.618
1700	0.8	12.729	13.326	2.031
1800	0.8	14.254	15.682	2.422
1900	0.8	16.763	18.529	2.722
2000	0.8	18.858	20.53	3.564
2100	0.8	21.092	23.561	3.776
2200	0.8	23.892	26.41	4.171
2300	0.8	27.023	29.833	4.491
2400	0.8	30.006	32.776	4.862
2500	0.8	34.282	37.29	5.877
2600	0.8	38.093	40.185	5.985
2700	0.8	42.257	45.392	6.976
2800	0.8	46.405	49.828	6.925
2900	0.8	51.588	55.767	8.279
3000	0.8	56.281	60.867	9.024
3100	0.8	62.052	66.525	9.507
3200	0.8	67.615	74.575	9.696
3300	0.8	74.7	80.172	11.083
3400	0.8	80.963	87.752	11.819
3500	0.8	87.712	97.769	12.355
3600	0.8	95.221	107.681	13.679
3700	0.8	104.107	117.486	14.211
3800	0.8	112.008	129.094	15.46
3900	0.8	119.758	138.82	16.666
4000	0.8	129.447	148.587	17.412
4100	0.8	139.701	160.008	19.165
4200	0.8	149.457	174.583	19.589
4300	0.8	160.542	186.785	22.001
4400	0.8	172.328	199.871	22.457
4500	0.8	183.5	210.424	24.307
4600	0.8	195.435	219.525	24.88
4700	0.8	207.275	230.179	27.164
4800	0.8	220.272	244.432	28.414
4900	0.8	235.343	258.648	30.302
5000	0.8	250.223	274.681	33.771
5100	0.8	264.944	290.487	33.771
5200	0.8	280.327	308.317	35.559
5300	0.8	296.761	325.269	37.689
5400	0.8	313.065	345.286	40.548
5500	0.8	330.894	361.536	41.999
5600	0.8	347.802	383.173	43.384
5700	0.8	368.943	404.152	46.917
5800	0.8	389.207	425.693	47.979
5900	0.8	408.836	448.096	53.217
6000	0.8	428.768	470.866	51.746
6100	0.8	450.29	493.611	56.118
6200	0.8	472.212	518.809	58.482
6300	0.8	495.435	545.88	62.152
6400	0.8	517.948	572.588	62.207
6500	0.8	545.225	598.373	67.051
6600	0.8	570.116	625.422	70.433
6700	0.8	595.792	654.085	74.121
6800	0.8	624.245	683.421	77.58
6900	0.8	649.673	716.131	78.159
7000	0.8	678.065	747.994	82.035
7100	0.8	706.735	779.618	85.06
7200	0.8	736.691	813.047	89.839
7300	0.8	771.191	847.439	98.128
7400	0.8	801.876	880.634	95.531
7500	0.8	834.336	919.529	101.147
7600	0.8	867.432	962.126	105.598
7700	0.8	902.072	1001.982	109.766
7800	0.8	936.698	1038.624	111.583
7900	0.8	972.751	1077.203	115.893
8000	0.8	1008.796	1115.253	121.504
8100	0.8	1050.634	1154.909	125.866
8200	0.8	1090.316	1190.941	136.403
8300	0.8	1129.196	1225.334	130.563
8400	0.8	1170.557	1258.711	135.644
8500	0.8	1211.323	1292.772	143.311
8600	0.8	1254.195	1323.538	150.298
8700	0.8	1296.891	1360.48	153.441
8800	0.8	1341.168	1389.634	158.489
8900	0.8	1391.862	1431.166	164.435
9000	0.8	1438.136	1458.827	172.704
9100	0.8	1487.306	1516.669	181.865
9200	0.8	1534.856	1546.415	180.867
9300	0.8	1584.641	1622.481	187.672
9400	0.8	1635.353	1667.655	193.642
9500	0.8	1688.856	1767.011	201.698
9600	0.8	1740.366	1875.375	203.218
9700	0.8	1800.405	1992.111	211.652
9800	0.8	10000000	2072.047	217.587
9900	0.8	1912.081	2139.629	243.473
10000	0.8	1970.844	2210.4	253.082
