N	sparsity	gcoospdm	cusparse	cublas
400	0.8	0.575	1.037	0.042
500	0.8	1.102	1.269	0.066
600	0.8	0.956	0.981	0.075
700	0.8	1.284	1.539	0.1
800	0.8	1.393	1.434	0.135
900	0.8	2.136	1.842	0.198
1000	0.8	2.793	2.754	0.238
1100	0.8	2.931	2.99	0.312
1200	0.8	3.471	4.26	0.388
1300	0.8	4.221	5.868	0.518
1400	0.8	5.257	7.815	0.596
1500	0.8	6.295	9.396	0.766
1600	0.8	7.32	11.017	0.916
1700	0.8	8.834	13.37	1.095
1800	0.8	10.36	15.65	1.293
1900	0.8	11.507	18.26	1.482
2000	0.8	13.393	21.052	1.716
2100	0.8	15.396	24.51	2.018
2200	0.8	17.479	28.121	2.316
2300	0.8	19.687	32.189	2.52
2400	0.8	21.913	36.196	2.843
2500	0.8	24.933	41.606	3.318
2600	0.8	28.205	45.569	3.987
2700	0.8	31.537	51.759	4.174
2800	0.8	34.531	58.292	4.327
2900	0.8	39.024	66.246	5.084
3000	0.8	42.94	72.962	5.668
3100	0.8	48.707	81.351	6.369
3200	0.8	52.164	89.087	6.616
3300	0.8	58.652	98.945	7.326
3400	0.8	64.119	107.986	8.078
3500	0.8	71.181	118.027	8.693
3600	0.8	77.799	127.63	10.077
3700	0.8	85.446	139.244	10.446
3800	0.8	92.564	149.83	11.452
3900	0.8	99.931	163.03	12.476
4000	0.8	108.544	173.749	13.389
4100	0.8	120.246	189.186	15.504
4200	0.8	129.225	206.928	15.421
4300	0.8	140.237	225.755	16.695
4400	0.8	149.471	241.272	17.948
4500	0.8	162.266	261.48	20.097
4600	0.8	172.578	279.57	20.55
4700	0.8	184.209	298.816	22.43
4800	0.8	194.326	318.241	23.456
4900	0.8	210.575	340.947	25.682
5000	0.8	222.29	362.024	27.375
5100	0.8	235.701	385.805	28.107
5200	0.8	243.228	404.028	30.635
5300	0.8	256.578	425.585	32.225
5400	0.8	249.051	443.289	33.017
5500	0.8	264.361	470.767	34.694
5600	0.8	276.081	494.829	35.496
5700	0.8	294.583	521.135	38.383
5800	0.8	317.186	554.217	40.646
5900	0.8	339.799	584.398	43.382
6000	0.8	355.041	610.274	44.008
6100	0.8	375.46	644.857	47.256
6200	0.8	397.025	679.71	49.534
6300	0.8	421.42	711.374	53.022
6400	0.8	426.026	743.296	53.815
6500	0.8	458.383	783.936	57.282
6600	0.8	484.208	821.112	60.709
6700	0.8	509.165	858.169	64.332
6800	0.8	527.92	896.045	67.716
6900	0.8	555.822	938.198	69.461
7000	0.8	574.5	977.92	73.454
7100	0.8	607.445	1022.51	76.041
7200	0.8	617.172	1060.057	80.577
7300	0.8	666.673	1107.459	84.394
7400	0.8	692.033	1148.972	85.918
7500	0.8	722.125	1197.447	90.679
7600	0.8	749.167	1246.352	93.731
7700	0.8	788.223	1292.556	99.541
7800	0.8	815.213	1345.289	101.552
7900	0.8	867.944	1415.983	105.566
8000	0.8	890.424	1470.808	109.957
8100	0.8	941.897	1529.392	115.4
8200	0.8	965.392	1597.842	118.663
8300	0.8	1009.748	1665.526	122.757
8400	0.8	1038.867	1723.409	127.629
8500	0.8	1102.589	1795.583	134.167
8600	0.8	1130.882	1865.674	140.473
8700	0.8	1180.212	1939.83	141.736
8800	0.8	1181.09	2010.338	148.308
8900	0.8	1262.617	2074.009	152.444
9000	0.8	1264.977	2112.041	158.923
9100	0.8	1311.209	2191.332	166.9
9200	0.8	1338.949	2269.814	168.341
9300	0.8	1406.811	2329.968	175.449
9400	0.8	1450.342	2408.492	181.614
9500	0.8	1507.923	2496.397	189.683
9600	0.8	1509.522	2586.941	190.261
9700	0.8	1605.646	2685.003	196.55
9800	0.8	1642.449	2777.811	205.625
9900	0.8	1718.055	2893.262	211.938
10000	0.8	1737.157	2998.639	220.476
